mutantIndex;mutantType;copyingTime;mutationTime;buildingTime
1;5;2402;0;0
2;5;4586;0;0
1;5;0;164;10193
3;5;7560;0;0
2;5;0;20;9519
4;5;5462;0;0
3;5;0;12;8562
5;5;6271;0;0
4;5;0;6;7635
6;5;7232;0;0
5;5;0;20;10038
7;5;6680;0;0
6;5;0;8;8157
8;5;7880;0;0
7;5;0;8;10608
9;5;6215;0;0
8;5;0;12;8120
10;5;9025;0;0
9;5;0;12;13786
11;5;7398;0;0
10;5;0;12;10220
12;5;8528;0;0
11;5;0;8;9792
13;5;6883;0;0
12;5;0;8;12599
14;5;10124;0;0
13;5;0;12;13254
15;5;9423;0;0
14;5;0;12;10586
16;5;9166;0;0
15;5;0;8;12204
17;5;6243;0;0
16;5;0;11;14063
18;5;11059;0;0
17;5;0;12;11482
19;5;8093;0;0
18;5;0;16;11622
20;5;6325;0;0
19;5;0;9;12365
21;5;9169;0;0
20;5;0;8;14609
22;5;11072;0;0
21;5;0;9;12809
23;5;4955;0;0
22;5;0;20;9938
24;5;10062;0;0
23;5;0;15;11910
25;5;6401;0;0
24;5;0;24;11156
26;5;7621;0;0
25;5;0;8;10287
27;3;10042;0;0
26;5;0;24;13350
28;3;7203;0;0
27;3;0;14;11901
29;3;7855;0;0
28;3;0;11;15076
30;3;9565;0;0
29;3;0;16;12474
31;3;6608;0;0
30;3;0;8;8273
32;3;5603;0;0
31;3;0;12;12530
33;3;9686;0;0
32;3;0;4;12591
34;3;9827;0;0
33;3;0;12;12887
35;3;7272;0;0
34;3;0;12;9084
36;3;8475;0;0
35;3;0;36;12218
37;3;10566;0;0
36;3;0;11;14367
38;3;7450;0;0
37;3;0;11;13052
39;3;8822;0;0
38;3;0;30;11010
40;3;9293;0;0
39;3;0;16;13597
41;3;6442;0;0
40;3;0;7;13427
42;3;10062;0;0
41;3;0;12;11794
43;3;6067;0;0
42;3;0;13;12415
44;3;9490;0;0
43;3;0;9;16821
45;3;10243;0;0
44;3;0;11;12482
46;3;9703;0;0
45;3;0;20;13489
47;3;7923;0;0
46;3;0;19;10066
48;3;8483;0;0
47;3;0;18;11698
49;3;10017;0;0
48;3;0;10;13214
50;3;7390;0;0
49;3;0;12;8796
51;3;8510;0;0
50;3;0;11;10809
52;3;9919;0;0
51;3;0;14;12680
53;10;9392;0;0
52;3;0;12;14818
54;10;14669;0;0
53;10;0;97;15535
55;10;11194;0;0
54;10;0;19;12464
56;10;7601;0;0
55;10;0;50;12999
57;10;11190;0;0
56;10;0;14;12455
58;10;11126;0;0
57;10;0;77;13372
59;10;12163;0;0
58;10;0;14;17966
60;10;8146;0;0
59;10;0;12;17314
61;10;12148;0;0
60;10;0;51;13067
62;10;5042;0;0
61;10;0;12;11639
63;10;8760;0;0
62;10;0;11;11232
64;10;6958;0;0
63;10;0;139;10511
65;10;6454;0;0
64;10;0;47;8688
66;10;8321;0;0
65;10;0;0;11228
67;10;5267;0;0
66;10;0;129;10111
68;10;9150;0;0
67;10;0;15;10454
69;10;6623;0;0
68;10;0;64;11541
70;10;6007;0;0
69;10;0;53;9305
71;10;7939;0;0
70;10;0;12;9616
72;10;5257;0;0
71;10;0;8;10119
73;10;7843;0;0
72;10;0;15;11553
74;10;8757;0;0
73;10;0;0;11875
75;10;6725;0;0
74;10;0;4;6928
76;10;6935;0;0
75;10;0;12;10006
77;10;5682;0;0
76;10;0;13;11457
78;10;9288;0;0
77;10;0;20;12326
79;10;5995;0;0
78;10;0;18;11110
80;10;8414;0;0
79;10;0;31;11651
81;10;7308;0;0
80;10;0;14;11778
82;10;8065;0;0
81;10;0;40;11381
83;10;5337;0;0
82;10;0;12;7696
84;10;8811;0;0
83;10;0;12;11068
85;10;6126;0;0
84;10;0;12;11797
86;10;11661;0;0
85;10;0;16;14721
87;10;11938;0;0
86;10;0;14;12997
88;10;9914;0;0
87;10;0;14;14327
89;10;10785;0;0
88;10;0;12;14965
90;10;6283;0;0
89;10;0;16;14407
91;10;9744;0;0
90;10;0;177;12800
92;10;6055;0;0
91;10;0;20;6957
93;10;6918;0;0
92;10;0;12;10030
94;10;6505;0;0
93;10;0;16;10731
95;10;8892;0;0
94;10;0;77;9539
96;10;5275;0;0
95;10;0;28;7644
97;10;7807;0;0
96;10;0;12;10146
98;1;5244;0;0
97;10;0;16;10862
99;1;8734;0;0
98;1;0;16;11508
100;1;7046;0;0
99;1;0;13;10340
101;1;5775;0;0
100;1;0;41;11028
102;1;8317;0;0
101;1;0;15;10492
103;1;5670;0;0
102;1;0;12;10634
104;1;8270;0;0
103;1;0;12;11469
105;1;8695;0;0
104;1;0;13;11618
106;1;5374;0;0
105;1;0;8;6613
107;1;8159;0;0
106;1;0;16;11170
108;1;6966;0;0
107;1;0;10;7692
109;1;7073;0;0
108;1;0;11;9777
110;1;5101;0;0
109;1;0;8;11269
111;1;9263;0;0
110;1;0;8;11673
112;1;5531;0;0
111;1;0;16;7016
113;1;6138;0;0
112;1;0;12;10041
114;1;6594;0;0
113;1;0;40;8794
115;1;8515;0;0
114;1;0;12;10982
116;1;5111;0;0
115;1;0;12;9985
117;1;8987;0;0
116;1;0;12;12255
118;1;6272;0;0
117;1;0;8;6717
119;1;6842;0;0
118;1;0;8;16854
120;1;10379;0;0
119;1;0;13;15745
120;1;0;12;8842
121;1;9110;0;0
122;1;6477;0;0
121;1;0;8;8319
123;1;6051;0;0
122;1;0;12;7057
124;8;8723;0;0
123;1;0;20;12122
125;9;12731;0;0
124;8;0;12;13304
126;9;8507;0;0
125;9;0;11;14104
127;9;9072;0;0
126;9;0;47;12270
127;9;0;24;10218
